          5
   1   1   2 1.0                                                           
       BOMBAY (APOLLO BANDAR) - INDIA,WEST COAST  (constituents used upto 2005 )
 -0530                                             see below for the new
LAT. 18 55 N. LONG. 72 50 E.                     
PORT   ZO 2515YEAR94YDAY  1FSTD  1ENDD372NDC100OTH   SWC 19STEP030 BOMBAY      8
0000309214                4300928                                             69
0000400469                4456955                                             70
0000009872                5687018                                             71
0000717874                5695231                                             72
0000413922                5788607                                             73
0000308290                7191124                                             74
0000211178                7246026                                             75
0000608129                7300928                                             76
0000127811                8484767                                             77
0000206969                8539204                                             78
0000132924                8585428                                             79
0000310403                8593642                                             80
0000031682                8632580                                             81
0000110524                8648079                                             82
0000101292                8687018                                             83
0000206817                8749669                                             84
0000122808                8851258                                             85
0000107581                8859472                                             86
0000135753               11484767                                             87
0000107962               11539204                                             88
0000214107               11593642                                             89
0000109834               11640794                                             90
0000316824               11695231                                             91
0000217006               11703445                                             92
0000222610               11750597                                             93
0000221777               11796821                                             94
0000221941               11805035                                             95
0000225367               14593642                                             96
0000130070               14695231                                             97
0000300549               17437615                                             98
0000233102               17492052                                             99
0000205606               17593642                                            100 
   0.0344   0.0483   3.917    2.7625   0.00     0.00     0.00     0.00         1
   0.0085   0.0470   1.246    1.3816 270.87   169.74   159.99   267.92         2
   0.0341   0.0314   1.672    1.1161 158.73   134.83   217.07   208.71         3
   0.0114   0.0137   0.512    0.8115 275.87     2.04   278.45   255.17         4
   0.0104   0.0061   1.140    1.0088 211.84    27.27   167.28   348.36         5
   0.0280   0.0095   0.557    0.0854  97.43    40.32   350.04   280.24         6
   0.0158   0.0079   0.756    0.8172 332.54   248.01    92.64   192.96         7
   0.0040   0.0038   0.531    0.3820 296.19   194.90   106.22    70.47         8
   0.0077   0.0062   1.038    1.1115 231.68     8.26   246.85    94.16         9
   0.0039   0.0063   0.026    0.6331 250.19   337.73   245.56    93.58        10
   0.0027   0.0036   0.508    0.3014 164.36   343.41   277.12   338.11        11
  -0.0029   0.0024  -0.153   -0.2628   0.00     0.00     0.00     0.00        12
   0.0115   0.0095   0.346    0.5300  63.89   281.61   162.83    55.70        13
   0.0029   0.0082   3.728    2.0944 128.40    94.80   106.71    46.66        14
   0.0155   0.0203   1.794    1.9407 258.78   107.03   318.04    75.12        15
   0.0051   0.0011   0.343    0.8805 292.64   170.53    63.14   346.28        16
   0.0119   0.0100   1.942    1.9846 134.43   241.37    55.49   325.37        17
   0.0029   0.0008   0.500    1.2106 174.16   218.06   159.56   235.90        18
   0.0022   0.0027   0.431    0.7648 357.01   127.66   284.74   208.55        19


   
 
   1   1   2 1.0
 INDIA - MUMBAI (APOLLO BANDAR) - INDIA,WEST COAST  (THESE CONSTITUENTS ARE USED w.e.f from 2018)                                                                
 -0530
LAT. 18 55 N. LONG. 72 50 E.
PO   ZO 2572YEAR2018YDAY  1FSTD  1ENDD372NDC100OTH   SWC 19STEP030 PORTNAME    8
0003632810                 004107                                              1
0003020903                 008214                                              2
0000503862                 054437                                              3
0000922226                 101590                                              4
0000805837                 109803                                              5
0000702056                1285429                                              6
0000805654                1292714                                              7
0004004736                1339866                                              8
0000705133                1347151                                              9
0020105164                1394304                                             10
0000809493                1402517                                             11
0001008464                1449205                                             12
0000208438                1456955                                             13
0000904227                1491786                                             14
0011405301                1495893                                             15
0002419008                1500000                                             16
0041805445                1504107                                             17
0000514513                1508214                                             18
0000607101                1512321                                             19
0000504433                1551259                                             20
0002506787                1558544                                             21
0000713053                1605696                                             22
0001909416                1613910                                             23
0000614420                2734170                                             24
0001427608                2742383                                             25
0004827492                2789535                                             26
0005830668                2796821                                             27
0029232327                2843973                                             28
0004832388                2851258                                             29
0001012827                2890197                                             30
0119634274                2898410                                             31
0000321835                2906624                                             32
0000525991                2945563                                             33
0002133756                2952848                                             34
0003503514                2995893                                             35
0048602018                3000000                                             36
0000801586                3004107                                             37
0012601385                3008214                                             38
0001209942                3054437                                             39
0000921267                3062651                                             40
0001210699                3101590                                             41
0001207467                4292714                                             42
0002304879                4347616                                             43
0000813961                4394304                                             44
0001620796                4402517                                             45
0002025529                4504107                                             46
0000935784                5742383                                             47
0003200494                5796821                                             48
0000103677                5843973                                             49
0003206557                5898410                                             50
0000506216                5906624                                             51
0000624037                6000000                                             52
0000220263                6008214                                             53
0000123486                8640794                                             54
0000527324                8695231                                             55
0000227777                8742383                                             56
0000733303                8796821                                             57
0000203498                8805035                                             58
0000227504                8898410                                             59
0000110296                8906624                                             60
0000604441                2640794                                             61
0000430688                2687018                                             62
0000911714                2695231                                             63
0000517820                2750597                                             64
0000227691                2835759                                             65
0000534924                2991786                                             66
0000723398                3108875                                             67
0000604497                4238277                                             68
0000406903                4300928                                             69
0000133794                4456955                                             70
0000414936                5687018                                             71
0000619345                5695231                                             72
0000209748                5788607                                             73
0000205300                7191124                                             74
0000433844                7246026                                             75
0000621225                7300928                                             76
0000003917                8484767                                             77
0000204164                8539204                                             78
0000104754                8585428                                             79
0000108970                8593642                                             80
0000017475                8632580                                             81
0000126292                8648079                                             82
0000019935                8687018                                             83
0000212216                8749669                                             84
0000223455                8851258                                             85
0000011448                8859472                                             86
0000102747               11484767                                             87
0000111473               11539204                                             88
0000113220               11593642                                             89
0000213928               11640794                                             90
0000415494               11695231                                             91
0000213631               11703445                                             92
0000118512               11750597                                             93
0000320439               11796821                                             94
0000218802               11805035                                             95
0000127779               14593642                                             96
0000127151               14695231                                             97
0000133426               17437615                                             98
0000101780               17492052                                             99
0000106296               17593642                                            100
   0.0319   0.0443   3.651    2.619    0.00     0.0      0.0      0.0          1
   0.0076   0.0450   1.013    1.337  271.90   169.2    163.1    269.2          2
   0.0326   0.0284   1.637    1.028  162.21   139.0    210.5    208.3          3
   0.0102   0.0121   0.532    0.803  273.61     5.9    287.7    254.3          4
   0.0089   0.0056   1.116    0.845  214.46    21.0    165.6    355.7          5
   0.0266   0.0088   0.410    0.067   97.34    42.6    343.4     68.8          6 
   0.0152   0.0067   0.733    0.939  335.77   242.7     89.3    194.4          7
   0.0045   0.0023   0.529    0.266  303.52   205.8    122.0     80.0          8
   0.0073   0.0070   1.018    1.113  235.02     8.5    244.2     89.7          9
   0.0036   0.0056   0.010    0.517  245.43   342.9     24.7     82.5         10
   0.0031   0.0039   0.548    0.491  185.18   344.2    277.1    307.2         11
  -0.0028   0.0017  -0.201   -0.351    0.00     0.0      0.0      0.0         12
   0.0107   0.0092   0.350    0.538   65.56   279.3    152.1     52.2         13
   0.0027   0.0074   3.495    1.964  113.03    93.9    106.6     48.6         14
   0.0139   0.0201   1.795    1.954  257.23   104.4    319.9     81.0         15
   0.0048   0.0010   0.242    0.708  295.01   155.7     84.2    345.2         16
   0.0119   0.0103   1.957    1.978  134.85   242.4     55.3    323.8         17
   0.0028   0.0013   0.511    1.311  173.09   296.4    170.0    238.4         18
   0.0024   0.0025   0.510    0.842    1.88   137.4    289.6    206.0         19





